UK-AIR ID,EU Site ID,Name,Site Name,Station,Environment Type,Zone,Start Date,End Date,Latitude,Longitude,Northing,Easting,Altitude (m),Networks,AURN Pollutants Measured,Site Description,Flow_segment,xTile_in,yTile_in,URL
,,WA7,Wandsworth - Putney High Street,Wandsworth-PutneyHighStreet,Urban Traffic,Greater London,17-07-09,,51.463429,-0.215871,524036,175338,,Locally-managed automatic monitoring,PM10 particulate matter (Hourly measured) and Nitrogen dioxide,Urban Traffic,Yes,32728,21805,https://uk-air.defra.gov.uk/networks/site-info?uka_id=WA7&search=View+Site+Information&action=site&provider=london
,,WA9,Wandsworth - WA9,Wandsworth-WA9,Urban Background,Greater London,11-03-11,,51.465033,-0.215825,524035,175516,,Locally-managed automatic monitoring,"PM10 particulate matter (Hourly measured), Nitrogen dioxide",Urban Background,Yes,32728,21804,https://uk-air.defra.gov.uk/networks/site-info?uka_id=WA9&provider=london
,,BT8,Brent - ARK Franklin Primary Academy,Brent-ARKFranklinPrimaryAcademy,Urban Traffic,Greater London,30-10-17,,51.532405,-0.217719,523721,183005,,Locally-managed automatic monitoring,PM10 particulate matter (Hourly measured) and Nitrogen dioxide,unknown unknown,,32728,21785,https://uk-air.defra.gov.uk/networks/site-info?uka_id=BT8&provider=london
UKA00259,GB0636A,UKA00259,Camden Kerbside,CamdenKerbside,Urban Traffic,Greater London Urban Area,16-05-96,,51.54421,-0.175269,184390.33,526632.53,2.0 -10,Automatic Urban and Rural Monitoring Network (AURN),"Nitric oxide, Nitrogen dioxide, Nitrogen oxides as nitrogen dioxide, PM10 particulate matter (Hourly measured), PM2.5 particulate matter (Hourly measured), Modelled Wind Direction, Modelled Wind Speed, Modelled Temperature","The monitoring station is located in a self contained, air conditioned cabin on the north side of the Swiss Cottage Junction on the A41 (Finchley Road). The site is at the southern end of a broad street canyon, the road is often congested. Pedestrian traffic is also high. The surrounding area mainly consists of shops and offices. The site is part of the London Air Quality Network and is owned and funded by the London Borough of Camden. The monitoring station is located approximately 1 metre from the kerb.",Yes,32736,21781,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00259
UKA00315,GB0682A,UKA00315,London Marylebone Road,LondonMaryleboneRoad,Urban Traffic,Greater London Urban Area,01-01-97,,51.52253,-0.154611,182015.36,528125.76,4,Automatic Hydrocarbon Network; Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; PAH Digitel (solid phase); Particle Concentrations and Numbers Network; UK Urban NO2 Network,"Ozone, Nitric oxide, Nitrogen dioxide, Nitrogen oxides as nitrogen dioxide, Sulphur dioxide, Carbon monoxide, PM10 particulate matter (Hourly measured), PM2.5 particulate matter (Hourly measured), PM10 particulate matter (Daily measured), PM2.5 particulate matter (Daily measured), Modelled Wind Direction, Modelled Wind Speed, Modelled Temperature",Urban Traffic,Yes,32739,21787,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00315
,,WM6,Westminster - Oxford Street,Westminster-OxfordStreet,Urban Traffic,Greater London Urban Area,08-02-13,,51.513929,-0.152793,Â 528276,181062,,Locally-managed automatic monitoring,Nitrogen dioxide,"Located such that its pollution level is determined predominantly by the emissions from nearby traffic (roads, motorways, highways). Air sampled at traffic sites must be representative of air quality for a street segment no less than 100 m length. ",Yes,32740,21790,https://uk-air.defra.gov.uk/networks/site-info?uka_id=WM6&provider=london
UKA00211,GB0566A,UKA00211,London Bloomsbury,LondonBloomsbury,Urban Background,Greater London Urban Area,23-01-92,,51.52229,-0.125889,182039.31,530118.96,3.0 - 10,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network,"Ozone, Nitric oxide, Nitrogen dioxide, Nitrogen oxides as nitrogen dioxide, Sulphur dioxide, Carbon monoxide, PM10 particulate matter (Hourly measured), PM2.5 particulate matter (Hourly measured), Modelled Wind Direction, Modelled Wind Speed, Modelled Temperature","The monitoring station is at ground level, althoug in a position where it is not influenced significantly by any single source or street. The monitoring station is within a self-contained, air conditioned housing located within the north-east corner of a central London gardens. The gardens are generally laid to grass with many mature trees. All four sides of the gardens are surrounded by a busy 2 lane one-way road system, which is subject to frequent congestion. The nearest road lies at a distance of approximately 25 metres from the station. The area in the in the vicinity of the manifold is surrounded by small buildings (lower than height of manifold).",,32745,21788,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00211
UKA00253,GB0620A,UKA00253,London N. Kensington,LondonN.Kensington,Urban Background,Greater London Urban Area,01-04-96,,51.52105,-0.213492,181749.4,524045.04,2.8 - 10,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon,"Nitric oxide, Nitrogen dioxide, Nitrogen oxides as nitrogen dioxide, Sulphur dioxide, Carbon monoxide, PM10 particulate matter (Hourly measured), PM2.5 particulate matter (Hourly measured), PM10 particulate matter (Daily measured), PM2.5 particulate matter (Daily measured), Modelled Wind Direction, Modelled Wind Speed, Modelled Temperature","The monitoring station is located within a self contained cabin in the grounds of Sion Manning School. The nearest road, St. Charles Square, is a quiet residential road approximately 5 metres from the station. The surrounding area is mainly residential. The site is part of the London Air Quality Network and is owned and funded by the London Borough of Kensington and Chelsea.",,32729,21788,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00253
UKA00435,GB0743A,UKA00435,London Westminster,LondonWestminster,Urban Background,Greater London Urban Area,17-07-01,,51.49467,-0.131931,178957.15,529778.2,4.0 - 10,Automatic Urban and Rural Monitoring Network (AURN); Heavy Metals,"Ozone, Nitric oxide, Nitrogen dioxide, Nitrogen oxides as nitrogen dioxide, PM2.5 particulate matter (Hourly measured), Modelled Wind Direction, Modelled Wind Speed, Modelled Temperature",The monitoring station is located within a self contained housing in the car park of the mortuary and coroner's court. The nearest road is the B323 Horseferry Road approximately 17 metres north of the station. The surrounding area is mixed commercial and residential.  ,,32743,21796,https://uk-air.defra.gov.uk/networks/site-info?uka_id=UKA00435
,,CD009,Camden - Euston Road,Camden-EustonRoad,Urban Traffic,Greater London,14-11-14,,51.527975,-0.128774,529903,182666,,Locally-managed automatic monitoring,"PM10 particulate matter (Hourly measured), Nitrogen dioxide, PM2.5 particulate matter (Hourly measured)",Urban Traffic,Yes,32744,21786,https://uk-air.defra.gov.uk/networks/site-info?uka_id=CD009&provider=aqengland
