Sitename_type,Wandsworth - Putney High Street Urban Traffic,Wandsworth - WA9 Urban Background,Brent - ARK Franklin Primary Academy Urban Traffic,Camden Kerbside Urban Traffic,London Marylebone Road Urban Traffic,Westminster - Oxford Street Urban Traffic,London Bloomsbury Urban Background,London N. Kensington Urban Background,London Westminster Urban Background,Camden - Euston Road Urban Traffic,Camden - Coopers Lane Urban Industrial,Camden High Street Urban Traffic,Wandsworth - Lavender Hill (Clapham Jct) Urban Traffic,Richmond Upon Thames - Castelnau Urban Traffic,London Haringey Priory Park South Urban Background,RBKC Knightsbridge (Kensington and Chelsea) Urban Traffic
Wandsworth - Putney High Street Urban Traffic,0.0,0.18,7.67,9.41,7.82,7.11,9.04,6.41,6.77,9.37,9.79,9.88,3.41,2.38,14.81,5.34
Wandsworth - WA9 Urban Background,0.18,0.0,7.49,9.24,7.67,6.97,8.91,6.23,6.68,9.24,9.65,9.73,3.41,2.25,14.65,5.21
Brent - ARK Franklin Primary Academy Urban Traffic,7.67,7.49,0.0,3.22,4.5,4.94,6.45,1.3,7.27,6.17,6.1,5.19,8.42,5.96,8.6,5.23
Camden Kerbside Urban Traffic,9.41,9.24,3.22,0.0,2.8,3.71,4.2,3.69,6.27,3.69,3.39,2.23,8.97,8.31,5.63,5.07
London Marylebone Road Urban Traffic,7.82,7.67,4.5,2.8,0.0,0.96,1.99,4.08,3.47,1.89,2.1,2.1,6.6,7.41,7.14,2.69
Westminster - Oxford Street Urban Traffic,7.11,6.97,4.94,3.71,0.96,0.0,2.08,4.27,2.58,2.28,2.68,2.98,5.67,6.95,8.03,1.83
London Bloomsbury Urban Background,9.04,8.91,6.45,4.2,1.99,2.08,0.0,6.06,3.1,0.66,1.24,2.34,7.1,9.02,6.88,3.7
London N. Kensington Urban Background,6.41,6.23,1.3,3.69,4.08,4.27,6.06,0.0,6.36,5.91,5.96,5.27,7.15,4.83,9.3,4.18
London Westminster Urban Background,6.77,6.68,7.27,6.27,3.47,2.58,3.1,6.36,0.0,3.71,4.29,5.12,4.2,7.47,9.96,2.3
Camden - Euston Road Urban Traffic,9.37,9.24,6.17,3.69,1.89,2.28,0.66,5.91,3.71,0.0,0.59,1.7,7.62,9.2,6.25,4.04
Camden - Coopers Lane Urban Industrial,9.79,9.65,6.1,3.39,2.1,2.68,1.24,5.96,4.29,0.59,0.0,1.24,8.15,9.51,5.67,4.49
Camden High Street Urban Traffic,9.88,9.73,5.19,2.23,2.1,2.98,2.34,5.27,5.12,1.7,1.24,0.0,8.65,9.3,5.06,4.78
Wandsworth - Lavender Hill (Clapham Jct) Urban Traffic,3.41,3.41,8.42,8.97,6.6,5.67,7.1,7.15,4.2,7.62,8.15,8.65,0.0,5.22,13.7,3.95
Richmond Upon Thames - Castelnau Urban Traffic,2.38,2.25,5.96,8.31,7.41,6.95,9.02,4.83,7.47,9.2,9.51,9.3,5.22,0.0,13.92,5.48
London Haringey Priory Park South Urban Background,14.81,14.65,8.6,5.63,7.14,8.03,6.88,9.3,9.96,6.25,5.67,5.06,13.7,13.92,0.0,9.83
RBKC Knightsbridge (Kensington and Chelsea) Urban Traffic,5.34,5.21,5.23,5.07,2.69,1.83,3.7,4.18,2.3,4.04,4.49,4.78,3.95,5.48,9.83,0.0
